NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
TACOS DE CHILATE DE PESCADO SECO|GUERRERO|8|20|480|0|0|0|1|2|PESCADO, CHILE GUAJILLO, AJO, CERDO, EPAZOTE, MAIZ, SAL|ANTOJITOS CON MAIZ|México Prehispánico (Antes de 1521)|Antojitos
TACOS DE HONGOS AL SARTEN|ESTADO DE MEXICO|4|25|20|0|0|0|1|2|ACEITE, AJO, CEBOLLA, HONGO, VINO BLANCO, JITOMATE, CHILE SERRANO, EPAZOTE, MAIZ, SALSA, SAL|ANTOJITOS CON MAIZ|Conquista y Virreinato (1521 – 1821)|Antojitos
TACOS DE MACHACA CON HUEVO|NUEVO LEON|6|5|15|0|0|0|1|2|ACEITE, CEBOLLA, AJO, CHILE SERRANO, JITOMATE, MACHACA, HUEVO, MAIZ, SALSA, SAL|ANTOJITOS CON MAIZ|Revolución Mexicana (1910 - 1940)|Antojitos
TACOS DE QUELITES CON REQUESON|CIUDAD DE MEXICO|6|30|15|10|0|0|2|1|CERDO, CEBOLLA, AJO, CHILE VERDE, QUELITE, REQUESON, CILANTRO, MAIZ, PICO DE GALLO, SAL|ANTOJITOS CON MAIZ|Conquista y Virreinato (1521 – 1821)|Antojitos
TAMAL DE CAZUELA VERACRUZANO|VERACRUZ|30|40|75|0|0|0|2|2|MASA CERNIDA, POLVO PARA HORNEAR, CHILE ANCHO, JITOMATE, HOJA SANTA, CERDO, SAL|TAMALES DE MASA CERNIDA|México Prehispánico (Antes de 1521)|Tamales
TAMAL DE ELOTE DEL GOLFO|VERACRUZ|10|40|60|0|0|0|3|2|MASA DE ELOTE TIERNO, POLLO, MOLE DE XICO, SAL, HOJA SANTA|TAMALES DE ELOTE TIERNO|México Prehispánico (Antes de 1521)|Tamales
TAMAL DE ELOTE EN CAZUELA|VERACRUZ|10|30|85|0|0|0|2|2|ELOTE, LECHE, MANTEQUILLA, AZUCAR, HUEVO, HARINA DE TRIGO, SAL, JITOMATE, CEBOLLA, ACEITE DE OLIVA, CHILE POBLANO, POLLO|TAMALES DE ELOTE TIERNO|México Prehispánico (Antes de 1521)|Tamales
TAMAL DE PATO RELLENO|ESTADO DE MEXICO|4|20|135|0|0|0|3|2|PATO, CHILE PASILLA, ACEITE, CEBOLLA, AJO, EPAZOTE, XOCONOSTLE, SAL, MAIZ|OTROS TAMALES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMAL DE YUCA EN CAZUELA|VERACRUZ|10|60|120|0|0|0|2|2|CHILE DE ARBOL, CHILE CASCABEL, CHILE GUAJILLO, CERDO, AJO, ACHIOTE, COMINO, HIERBA SANTA, SAL, YUCA, PLATANO|OTROS TAMALES|México Prehispánico (Antes de 1521)|Tamales
TAMAL PERDIDO DE SAN LUIS POTOSI|SAN LUIS POTOSI|20|50|80|0|0|0|2|2|MASA DE MAIZ, CECINA, CHILE ANCHO, COMINO, AJO, CERDO, SAL, PIMIENTO|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Postres
TAMALES CANARIOS OAXAQUEÑOS|OAXACA|30|45|80|0|0|0|3|2|MAIZ, HARINA DE ARROZ, CALDO DE AVE, LECHE, HUEVO, AGUA, PASA, ALMENDRA, NUEZ|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES CANARIOS QUERETANOS|QUERETARO|30|45|60|0|0|0|2|2|MANTEQUILLA, AZUCAR, VAINILLA, HUEVO, POLVO DE HORNEAR, HARINA DE ARROZ|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES COSTEÑO|VERACRUZ|40|40|90|0|0|0|2|2|CERDO, CHILE ANCHO, CHILE PASILLA, CHILE MULATO, CANELA, CLAVO, PIMIENTA, CALDO DE CERDO, CERDO, POLLO, SAL, HARINA DE MAIZ, MAIZ|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE ACELGA MICHOACANOS|MICHOACAN|30|45|75|0|0|0|3|2|MAIZ, HARINA DE MAIZ, ACELGA, CERDO, CEBOLLA, AJO, JITOMATE, CHILE JALAPEÑO, POLLO, ALMENDRA, SAL|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE AMARILLITO|OAXACA|12|40|30|0|0|0|2|2|MAIZ, CHILE GUAJILLO, AJO, CEBOLLA, COMINO, CLAVO, PIMIENTA, MASA DE MAIZ, CERDO, CILANTRO, POLLO, SALSA MACHA|TAMALES DE MASA CERNIDA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE BAGRE DE MORELOS|MORELOS|6|35|25|0|0|0|1|1|MANTEQUILLA, LIMON, BAGRE, CHILE SERRANO, CEBOLLA, EPAZOTE, SAL, PIMIENTA, PLATANO, PAPA|OTROS TAMALES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE BODA|YUCATAN|80|50|150|0|0|0|2|2|MASA DE MAIZ, CERDO, SAL, POLLO, JITOMATE, CEBOLLA, AJO, EPAZOTE, ACHIOTE, AGUA, PIMIENTA, CHILE HABANERO, PLATANO|TAMALES DE MASA CERNIDA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE CALABAZA CON CAMARON DE BAJA CALIFORNIA|BAJA CALIFORNIA|30|45|80|0|0|0|2|2|MAIZ, HARINA DE MAIZ, CEBOLLA, JITOMATE, AJO, PASA, ALMENDRA, PIMIENTA, CERDO, CALABAZA, CAMARON, ACEITUNA, ALCAPARRA, CHILE EN VINAGRE, VINAGRE, AZUCAR, SAL|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|México Prehispánico (Antes de 1521)|Tamales
TAMALES DE CAMARON DE NAYARIT|NAYARIT|30|45|60|0|0|0|2|3|MAIZ, MASA DE MAIZ, CHILE ANCHO, CAMARON, CHILE POBLANO, CHILE SERRANO, AJO, CEBOLLA, JITOMATE, OREGANO, SAL|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|México Prehispánico (Antes de 1521)|Tamales
TAMALES DE CAPULIN|MORELOS|30|30|60|0|0|0|2|1|CAPULIN, HARINA DE MAIZ, AZUCAR, CANELA, MAIZ|TAMALES DULCES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE CAZON|TAMAULIPAS|6|30|35|0|0|0|2|2|ACEITE, CEBOLLA, AJO, NOPAL, HONGO, JITOMATE, EPAZOTE, CAZON, XOCONOSTLE, SALSA, SAL, PIMIENTA, PLATANO|OTROS TAMALES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE CHANCLETA|CIUDAD DE MEXICO|30|45|80|0|0|0|2|2|PLATANO, MASA CERNIDA, CHILE ANCHO, AJO, CEBOLLA, PIMIENTA, JITOMATE, CERDO, POLLO, EPAZOTE, SAL|TAMALES DE MASA CERNIDA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE CHICHARRON|MICHOACÁN|30|40|60|0|0|0|2|2|MAIZ, MASA DE MAIZ, CHICHARRON, PILONCILLO, ANIS|TAMALES DULCES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE CHICHARRON Y MANITAS DE CERDO|JALISCO|30|50|75|0|0|0|2|2|MAIZ, HARINA DE ARROZ, CHICHARRON, HARINA DE MAIZ, CALDO DE POLLO, JITOMATE, CEBOLLA, ACEITE DE MAIZ, CERDO, CHILE POBLANO, ACEITUNA, SAL|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE COAHUILA|COAHUILA|30|45|60|0|0|0|2|1|MAIZ, HARINA DE ARROZ, LECHE, CAJETA|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE ELOTE NAYARITAS|NAYARIT|20|40|60|0|0|0|2|1|MAIZ, ELOTE, CALABAZA, SAL|TAMALES DE ELOTE TIERNO|México Prehispánico (Antes de 1521)|Tamales
TAMALES DE FRIJOLES DEL ESTADO DE MEXICO|ESTADO DE MEXICO|30|40|60|0|0|0|2|1|MAIZ, MASA DE MAIZ, FRIJOL, CHILE SERRANO, EPAZOTE|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|México Prehispánico (Antes de 1521)|Tamales
TAMALES DE FRIJOLES Y QUELITES|ESTADO DE MEXICO|25|45|75|0|0|0|2|2|MASA DE TAMALES, POLVO PARA HORNEAR, CERDO, FRIJOL, CALDO DE FRIJOL, CEBOLLA, QUELITE, SAL, MAIZ|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|México Prehispánico (Antes de 1521)|Tamales
TAMALES DE GALLINA DE JALISCO|JALISCO|30|45|75|0|0|0|2|2|MAIZ, HARINA DE MAIZ, JITOMATE, CEBOLLA, CERDO, CHILE POBLANO, ALCAPARRA, ACEITUNA, GALLINA|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE HOJA SANTA|VERACRUZ|24|35|80|0|0|0|2|2|JITOMATE, CHILE SERRANO, AJO, ACEITE, SAL, HOJA SANTA, MASA DE MAIZ, CERDO, CALABAZA, HUEVO|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|México Prehispánico (Antes de 1521)|Tamales
TAMALES DE MACHACA NORTEÑOS|SONORA|20|45|80|0|0|0|2|2|MAIZ, HARINA DE MAIZ, CHILE ANCHO, CHILE CASCABEL, CHILE DE ARBOL, PILONCILLO, CANELA, JITOMATE, CERDO, CEBOLLA, AJO, MACHACA, PIMIENTA, SAL|TAMALES DE HARINA DE MAIZ NIXTAMALIZADA|Revolución Mexicana (1910 - 1940)|Tamales
TAMALES DE MOJARRA|MORELOS|6|40|20|0|0|0|2|2|CHILE MORITA, TOMATE VERDE, AJO, MAIZ, MOJARRA, EPAZOTE, SAL|OTROS TAMALES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE NUEZ|NUEVO LEÓN|30|45|60|0|0|0|1|2|MASA DE MAIZ, NATA, POLVO PARA HORNEAR, AZUCAR, NUEZ, ANIS, MAIZ|TAMALES DULCES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES DE TORTILLA|MORELOS|10|30|60|0|0|0|2|2|LECHE, TORTILLA, HUEVO, CERDO, SAL, POLVO PARA HORNEAR, MAIZ, RES, SALSA|OTROS TAMALES|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES ESTILO QUERETARO|QUERETARO|30|40|60|0|0|0|2|1|ELOTE, PASA, LECHE, MASA DE ELOTE TIERNO|TAMALES DE ELOTE TIERNO|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES NORTEÑOS DE CHILE COLORADO|CHIHUAHUA|30|60|60|0|0|0|2|2|MAIZ, MASA DE MAIZ, PINOLE, CERDO, CEBOLLA, AJO, CHILE ANCHO, VINAGRE, AZUCAR, HARINA, CERDO, PASA, ACEITUNA, SAL|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|Revolución Mexicana (1910 - 1940)|Tamales
TAMALES OAXAQUEÑOS|OAXACA|30|90|60|0|0|0|3|3|PLATANO, MASA DE MAIZ, CERDO, POLLO, MOLE NEGRO|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES REGIOS DE COAHUILA|COAHUILA|30|40|80|0|0|0|2|2|MAIZ, MASA CERNIDA, POLVO PARA HORNEAR, CERDO, CEBOLLA, JITOMATE, PAPA, ZANAHORIA, ALMENDRA, PASA, CHILE EN VINAGRE, AZUCAR, ACEITUNA, POLLO, SAL|TAMALES DE MASA CERNIDA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES TABASQUEÑOS DE PEJELAGARTO|TABASCO|30|60|60|0|0|0|2|3|PLATANO, MANTECA, MASA DE MAIZ, AGUA, SAL, PEJELAGARTO, JITOMATE, CEBOLLA, CHILE GUERO, CERDO, EPAZOTE|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|México Prehispánico (Antes de 1521)|Tamales
TAMALES YUCATECOS DE CREMA DE PEPITA|YUCATAN|30|45|60|0|0|0|2|2|MASA DE MAIZ, CALABAZA, CERDO, JITOMATE, EPAZOTE, SAL|TAMALES DE MASA DE MAIZ NIXTAMALIZADA|Conquista y Virreinato (1521 – 1821)|Tamales
TAMALES YUCATECOS DE ELOTE NUEVO|YUCATAN|20|40|60|0|0|0|2|2|ELOTE, CERDO, MANTEQUILLA, AZUCAR, LECHE, CIRUELA, PASA, SAL|TAMALES DE ELOTE TIERNO|México Prehispánico (Antes de 1521)|Tamales
TAMALITOS DE CACAO|TABASCO|30|40|70|0|0|0|2|3|MAIZ, MASA DE MAIZ, CACAO, AZUCAR, LECHE, CHILE PASILLA, PASA, CIRUELA|TAMALES DULCES|México Prehispánico (Antes de 1521)|Tamales
TAMALITOS DE ESPECIA YUCATECOS|YUCATAN|30|40|85|0|0|0|2|2|MAIZ, MASA CERNIDA, CERDO, AJO, CEBOLLA, JITOMATE, PASA, ALCAPARRA, OREGANO, SAL, PIMIENTA, HUEVO|TAMALES DE MASA CERNIDA|Conquista y Virreinato (1521 – 1821)|Tamales
TAPADO DE PATO EN MOLE NEGRO|OAXACA|6|40|90|0|0|0|2|3|PATO, SAL, PIMIENTA, PLATANO MACHO, HARINA NIXTAMALIZADA, AZUCAR, SAL, MOLE NEGRO, FRIJOL|MOLE ESPECIAL|Conquista y Virreinato (1521 – 1821)|Moles y adobos
TARTA DE HUAZONTLES CON SALSA DE CHILE PASILLA|CIUDAD DE MEXICO|6|20|45|60|0|0|2|2|HUAZONTLE, CHILE PASILLA, AJO, ACEITE, CEBOLLA, HOJALDRE, QUESO, HUEVO, SAL, PIMIENTA|PLATOS PRINCIPALES CON VERDURAS|Influencia europea / Porfiriato (1821 - 1910)|Vegetariano
TARTA DE TOMATILLO VERDE|CHIHUAHUA|8|35|30|50|0|0|2|2|TAPIOCA, TOMATE VERDE, AZUCAR, NUEZ, NARANJA, SAL, HARINA DE TRIGO, MANTEQUILLA|DULCES Y POSTRES|Influencia europea / Porfiriato (1821 - 1910)|Tartas y quiches
TASAJO CON CHAYA|YUCATAN|8|45|15|30|0|0|2|2|RES, RECAUDO COLORADO, CALABAZA, AJO, HOJA DE CHAYA, CHILE HABANERO, LIMON, SAL, NARANJA, TORTILLA DE MAIZ|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
TASTIHUIL DE NAYARIT|NAYARIT|12|20|35|0|0|0|1|2|CHILE CASCABEL, CHILE ANCHO, AJO, COMINO, OREGANO, CALDO DE POLLO, CERDO, MASA DE MAIZ, SAL|MOLE DE INGREDIENTES FRESCOS|México Prehispánico (Antes de 1521)|Sopas y caldos
TEJAS DE PEPITA|AGUASCALIENTES|8|10|5|60|0|0|2|1|AZUCAR, MANTEQUILLA, HUEVO, CALABAZA, HARINA|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
TELERA|PUEBLA|40|40|15|45|0|0|2|1|MASA MADRE, MASA FRESCA, MANTECA|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
TESMOLE|OAXACA|12|15|30|0|0|0|1|2|CHILE ANCHO, AJO, HOJA SANTA, COMINO, CALDO DE POLLO, MASA DE MAIZ, ACHIOTE, SAL|MOLE DE INGREDIENTES FRESCOS|México Prehispánico (Antes de 1521)|Sopas y caldos
TINGA POBLANA|PUEBLA|10|10|75|0|0|0|1|2|CERDO, POLLO, JITOMATE, AJO, CEBOLLA, PEREJIL, CALDO DE POLLO, CHILE CHIPOTLE, SARDINA, LECHUGA, AGUACATE, SAL|PLATOS PRINCIPALES CON POLLO|Conquista y Virreinato (1521 – 1821)|Carnes
TLACOYOS|CIUDAD DE MEXICO|6|30|30|0|0|0|1|1|MAIZ, FRIJOL, REQUESON, ACEITE, NOPAL, QUESO, CEBOLLA, SALSA, SAL|ANTOJITOS CON MAIZ|México Prehispánico (Antes de 1521)|Antojitos
TLAPANILI|GUERRERO|12|15|30|0|0|0|1|2|CHILE SERRANO, AGUACATE, CALDO DE POLLO, MASA DE MAIZ, SAL|MOLE DE INGREDIENTES FRESCOS|México Prehispánico (Antes de 1521)|Sopas y caldos
TLATONILE DE POLLO|VERACRUZ|4|20|80|0|0|0|3|2|POLLO, AJO, CEBOLLA, CHILE COMAPEÑO, CHILE ANCHO, AJONJOLI, CALABAZA, ACEITE, EPAZOTE, SAL, PIMIENTA, ARROZ, PLATANO MACHO|MOLE DE PIPIAN|Conquista y Virreinato (1521 – 1821)|Aves
TORREZNOS DE CHARALES DE CUITZEO|MICHOACAN|30|15|25|0|0|0|1|1|TOMATE VERDE, CHILE SERRANO, AJO, CILANTRO, HUEVO, CHARAL, ACEITE, SAL, TORTILLA DE MAIZ|ENTRADA|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
TORTA AHOGADA|JALISCO|2|25|8|0|0|0|1|2|JITOMATE, LAUREL, CLAVO, AJO, PIMIENTA, COMINO, MOSTAZA, VINAGRE DE PIÑA, SALSA BOTANERA, SAL, CHILE DE ARBOL, CEBOLLA, OREGANO, BIROTE, CERDO|ANTOJITOS CON TRIGO|Revolución Mexicana (1910 - 1940)|Antojitos
TORTAS DE COLORIN EN MOLE DE AROMAS GUERRENSE|GUERRERO|8|15|30|0|0|0|2|2|COLORIN, ACEITE, AJO, CEBOLLA, JITOMATE, PEREJIL, CHILE SERRANO, HUEVO, MOLE DE AROMAS GUERRENSE, PLATANO MACHO, SAL|MOLE DE CHILES SECOS|Conquista y Virreinato (1521 – 1821)|Moles y adobos
TORTITAS DE ACELGA|GUANAJUATO|6|25|15|0|0|0|2|1|PAPA, QUESO DE RANCHO, ACELGA, JITOMATE, CEBOLLA, CILANTRO, CHILE SERRANO, HARINA, HUEVO, ACEITE, SAL, JITOMATE, ARROZ|PLATOS PRINCIPALES CON VERDURAS|Conquista y Virreinato (1521 – 1821)|Vegetariano
TOSTADAS DE MANITAS DE CERDO|CIUDAD DE MEXICO|8|10|15|0|0|0|1|1|CERDO, TORTILLA DE MAIZ, FRIJOL, CERDO, CEBOLLA, LECHUGA, AGUACATE, QUESO, CHILE JALAPEÑO, SAL, PIMIENTA|ANTOJITOS CON MAIZ|Conquista y Virreinato (1521 – 1821)|Antojitos
TOSTADAS DE SALPICON DE MACHACA|NUEVO LEON|8|25|0|60|0|0|1|1|MACHACA, NARANJA, CEBOLLA, COMINO, CHILE SERRANO, ZANAHORIA, OREGANO, TOSTADA DE MAIZ, GUACAMOLE|ANTOJITOS CON MAIZ|Revolución Mexicana (1910 - 1940)|Antojitos
TOSTADAS DE TRUCHA EN ESCABECHE|ESTADO DE MEXICO|6|20|35|120|0|0|3|3|ACEITE DE OLIVA, CEBOLLA, AJO, ZANAHORIA, TOMILLO, LAUREL, VINAGRE DE MANZANA, TEQUILA, TRUCHA, MAIZ, LECHUGA, SAL, PIMIENTA|ANTOJITOS CON MAIZ|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
TOTOLE DE NAVIDAD|VERACRUZ|14|60|300|480|0|0|3|3|RES, CERDO, AJO, CEBOLLA, JITOMATE, CERDO, CHILE JALAPEÑO, ACEITUNA, ALMENDRA, PASA, VINO BLANCO, GUAJOLOTE, CHILE ANCHO, PIMIENTA, CANELA, OREGANO, TOMILLO, MEJORANA, SAL|PLATOS PRINCIPALES CON OTRAS CARNES|Conquista y Virreinato (1521 – 1821)|Platos festivos
TOTOPOS DE JAIBA AL CHINTEXTLE|OAXACA|6|25|40|0|0|0|2|3|ACEITE DE OLIVA, CEBOLLA, AJO, JITOMATE, CHINTEXTLE, NARANJA, VINO BLANCO, JAIBA, CILANTRO, TOTOPO, CAMARON, SAL, PIMIENTA|ANTOJITOS CON MAIZ|Conquista y Virreinato (1521 – 1821)|Antojitos
TRIO DE JITOMATES RELLENOS|BAJA CALIFORNIA|4|20|20|0|0|0|2|2|JITOMATE, MANTEQUILLA, CEBOLLIN, HUEVO, QUESO, JAMON, PICO DE GALLO, YOGUR, SAL, PIMIENTA|PLATOS PRINCIPALES CON VERDURAS|México Contemporáneo (1940 - Actualidad)|Entrada gourmet
VINAGRETA BASE|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRE DE MANZANA, ACEITE DE OLIVA, SAL, AZUCAR, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
VINAGRETA DE AGUACATE|MICHOACÁN|4|5|0|0|0|0|1|1|AGUACATE, VINAGRE DE MANZANA, SAL, ACEITE DE OLIVA, AZUCAR, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
VINAGRETA DE CHILE CHIPOTLE ADOBADO|PUEBLA|4|5|0|0|0|0|1|1|VINAGRE DE MANZANA, CHIPOTLE, ACEITE DE OLIVA, SAL, AZUCAR, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
VINAGRETA DE CITRICOS|VERACRUZ|4|5|0|0|0|0|1|1|VINAGRE DE MANZANA, NARANJA, TORONJA, LIMON, MIEL, ACEITE DE OLIVA, SAL, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
VINAGRETA DE GUAYABA|MICHOACÁN|4|5|0|0|0|0|1|1|GUAYABA, VINAGRE DE MANZANA, CANELA, ACEITE DE OLIVA, SAL, CHILE PIQUIN, AZUCAR, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
VINAGRETA DE HIERBAS|OAXACA|4|5|0|0|0|0|1|1|VINAGRE DE MANZANA, PEREJIL, ALBAHACA, TOMILLO, HIERBABUENA, ACEITE DE OLIVA, SAL, MIEL, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
VUELVE A LA VIDA|VERACRUZ|6|20|0|0|0|0|1|3|OSTION, ALMEJA, CAMARON, JAIBA, JITOMATE, PEREJIL, CEBOLLA, LIMON, OREGANO, ACEITE DE OLIVA, CANGREJO, AGUACATE, SAL|ENTRADA|Revolución Mexicana (1910 - 1940)|Pescados y mariscos
XANDUKATA MICHOACANA|MICHOACAN|12|25|30|0|0|0|1|2|CHILE GUAJILLO, CHILE PASILLA, CHILE SERRANO, AJO, CEBOLLA, JITOMATE, TOMATE VERDE, HIERBABUENA, CALDO DE POLLO, MAIZ SENERI, SAL|MOLE DE INGREDIENTES FRESCOS|México Prehispánico (Antes de 1521)|Sopas y caldos
