NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
REVOLTIJO TROPICAL|CIUDAD DE MEXICO|6|10|45|0|0|0|1|1|PAPAYA, CAMOTE, COCO, AZUCAR, NARANJA, PASA|DULCES Y POSTRES|México Contemporáneo (1940 - Actualidad)|Ensaladas
ROLLO DE PESCADO RELLENO DE MARISCOS|VERACRUZ|8|25|45|0|0|0|3|2|ROBALO, LIMON, AJO, OSTION, ACEITE DE OLIVA, CAMARON, JAIBA, PULPO, SALSA VERACRUZANA, CALDO DE PESCADO, MANTEQUILLA, MAYONESA, PIMIENTO, GUALUMBO, CAMARON, SAL, PIMIENTA|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
ROMERITOS CON TORITAS DE CAMARON|CIUDAD DE MEXICO|8|50|35|0|0|0|2|2|CAMARON, QUESO AÑEJO, PAN, HUEVO, ACEITE, AJO, MOLE, CALDO DE POLLO, ROMERITOS, PAPA, SAL|PLATOS PRINCIPALES CON VERDURAS|Conquista y Virreinato (1521 – 1821)|Comida cuaresmal
ROPA VIEJA|CIUDAD DE MEXICO|6|10|180|0|0|0|1|1|RES, CEBOLLA, AJO, ACEITE, JITOMATE, CHILE POBLANO, PAPA, SAL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ROSCA DE LAS ABUELAS|SONORA|12|45|50|0|0|0|3|2|UVA, JEREZ, HUEVO, AZUCAR, NUEZ, AVELLANA, COÑAC, HARINA DE TRIGO, MANTEQUILLA, CREMA|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
ROSCA DE MIEL Y ESPECIAS|CHIHUAHUA|6|20|60|0|0|0|2|2|MIEL, MANTEQUILLA, HUEVO, HARINA DE TRIGO, POLVO PARA HORNEAR, LINAZA, JENGIBRE, PIMIENTA, SAL|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
ROSCA DE REYES TRENZADA|CIUDAD DE MEXICO|8|45|50|105|0|0|3|2|HARINA, LEVADURA, AZUCAR, MANTEQUILLA, HUEVO, LECHE, CEREZA ROJA, CEREZA VERDE, NARANJA, HIGO|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
ROSQUITAS DE NARANJA|PUEBLA|35|25|20|0|0|0|2|1|HARINA DE TRIGO, SAL, POLVO PARA HORNEAR, NARANJA, MANTEQUILLA, AZUCAR, AJONJOLI|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
SALBUTES|CAMPECHE|6|40|40|0|0|0|2|1|VINAGRE BLANCO, CEBOLLA, OREGANO, ACEITE, SAL, CERDO, JITOMATE, AJO, MAIZ, TRIGO, POLVO PARA HORNEAR, CERDO, LECHUGA, QUESO AÑEJO, SAL|ANTOJITOS CON MAIZ|Conquista y Virreinato (1521 – 1821)|Antojitos
SALPICON DE CHILE HABANERO|YUCATAN|8|5|0|120|0|0|1|1|CHILE HABANERO, CEBOLLA, NARANJA, LIMON, CILANTRO, SAL|ESPECIALIDADES YUCATECAS|México Prehispánico (Antes de 1521)|Salsas y aderezos
